date,sku,demand,was_promo,was_stockout
2023-01-01,SKU-1042-WirelessHeadphones,74,False,False
2023-01-02,SKU-1042-WirelessHeadphones,85,False,False
2023-01-03,SKU-1042-WirelessHeadphones,86,False,False
2023-01-04,SKU-1042-WirelessHeadphones,83,False,False
2023-01-05,SKU-1042-WirelessHeadphones,80,False,False
2023-01-06,SKU-1042-WirelessHeadphones,76,False,False
2023-01-07,SKU-1042-WirelessHeadphones,69,False,False
2023-01-08,SKU-1042-WirelessHeadphones,61,False,False
2023-01-09,SKU-1042-WirelessHeadphones,104,False,False
2023-01-10,SKU-1042-WirelessHeadphones,79,False,False
2023-01-11,SKU-1042-WirelessHeadphones,78,False,False
2023-01-12,SKU-1042-WirelessHeadphones,89,False,False
2023-01-13,SKU-1042-WirelessHeadphones,95,False,False
2023-01-14,SKU-1042-WirelessHeadphones,66,False,False
2023-01-15,SKU-1042-WirelessHeadphones,69,False,False
2023-01-16,SKU-1042-WirelessHeadphones,75,False,False
2023-01-17,SKU-1042-WirelessHeadphones,82,False,False
2023-01-18,SKU-1042-WirelessHeadphones,6,False,True
2023-01-19,SKU-1042-WirelessHeadphones,75,False,False
2023-01-20,SKU-1042-WirelessHeadphones,87,False,False
2023-01-21,SKU-1042-WirelessHeadphones,53,False,False
2023-01-22,SKU-1042-WirelessHeadphones,58,False,False
2023-01-23,SKU-1042-WirelessHeadphones,83,False,False
2023-01-24,SKU-1042-WirelessHeadphones,81,False,False
2023-01-25,SKU-1042-WirelessHeadphones,89,False,False
2023-01-26,SKU-1042-WirelessHeadphones,88,False,False
2023-01-27,SKU-1042-WirelessHeadphones,92,False,False
2023-01-28,SKU-1042-WirelessHeadphones,71,False,False
2023-01-29,SKU-1042-WirelessHeadphones,74,False,False
2023-01-30,SKU-1042-WirelessHeadphones,87,False,False
2023-01-31,SKU-1042-WirelessHeadphones,89,False,False
2023-02-01,SKU-1042-WirelessHeadphones,90,False,False
2023-02-02,SKU-1042-WirelessHeadphones,88,False,False
2023-02-03,SKU-1042-WirelessHeadphones,85,False,False
2023-02-04,SKU-1042-WirelessHeadphones,65,False,False
2023-02-05,SKU-1042-WirelessHeadphones,62,False,False
2023-02-06,SKU-1042-WirelessHeadphones,90,False,False
2023-02-07,SKU-1042-WirelessHeadphones,87,False,False
2023-02-08,SKU-1042-WirelessHeadphones,83,False,False
2023-02-09,SKU-1042-WirelessHeadphones,83,False,False
2023-02-10,SKU-1042-WirelessHeadphones,80,False,False
2023-02-11,SKU-1042-WirelessHeadphones,73,False,False
2023-02-12,SKU-1042-WirelessHeadphones,68,False,False
2023-02-13,SKU-1042-WirelessHeadphones,82,False,False
2023-02-14,SKU-1042-WirelessHeadphones,92,False,False
2023-02-15,SKU-1042-WirelessHeadphones,84,False,False
2023-02-16,SKU-1042-WirelessHeadphones,79,False,False
2023-02-17,SKU-1042-WirelessHeadphones,94,False,False
2023-02-18,SKU-1042-WirelessHeadphones,65,False,False
